Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Регулярный
55.0,246.0,3.0,3.0,1.0,192.0,17.0,2.0,8.945454545454545,9.0,9.0,7.0,False,False
44.0,497.0,2.0,2.0,1.0,454.0,32.0,14.0,22.59090909090909,22.0,21.0,13.0,False,False
21.0,38.0,,,3.0,20.0,7.0,0.0,3.619047619047619,4.0,3.0,5.0,False,False
88.0,630.0,3.0,2.0,1.0,543.0,24.0,7.0,14.318181818181818,14.0,14.0,8.0,False,False
60.0,231.0,4.0,3.0,1.0,172.0,14.0,3.0,7.7,8.0,7.0,6.0,False,False
69.0,161.0,6.0,4.0,1.0,93.0,11.0,1.0,4.666666666666667,4.0,3.0,5.0,False,False
52.0,383.0,3.0,2.0,1.0,332.0,21.0,8.0,14.73076923076923,15.0,13.0,10.0,False,False
42.0,706.0,2.0,2.0,1.0,665.0,38.0,28.0,33.61904761904762,34.0,35.0,19.0,False,False
57.0,933.0,2.0,2.0,1.0,877.0,41.0,27.0,32.73684210526316,33.0,35.0,16.0,False,False
71.0,452.0,3.0,2.0,1.0,382.0,20.0,5.0,12.732394366197184,13.0,15.0,8.0,False,False
92.0,727.0,3.0,2.0,1.0,636.0,26.0,8.0,15.804347826086957,16.0,15.0,10.0,False,False
10.0,32.0,2.0,2.0,1.0,23.0,8.0,5.0,6.4,6.0,6.0,5.0,False,False
92.0,977.0,3.0,2.0,1.0,886.0,31.0,13.0,21.23913043478261,21.0,24.0,12.0,False,False
74.0,618.0,3.0,2.0,1.0,545.0,25.0,8.0,16.7027027027027,17.0,18.0,11.0,False,False
49.0,730.0,2.0,2.0,1.0,682.0,37.0,21.0,29.79591836734694,30.0,31.0,15.0,False,False
65.0,1653.0,2.0,2.0,1.0,1589.0,57.0,43.0,50.86153846153846,51.0,49.0,26.0,False,False
23.0,81.0,3.0,2.0,1.0,59.0,11.0,2.0,7.043478260869565,7.0,6.0,6.0,False,False
27.0,222.0,2.0,2.0,1.0,196.0,22.0,12.0,16.444444444444443,16.0,16.0,11.0,False,False
11.0,33.0,3.0,2.0,1.0,23.0,9.0,2.0,6.0,6.0,6.0,5.0,False,False
18.0,152.0,2.0,1.0,1.0,135.0,17.0,16.0,16.88888888888889,17.0,17.0,17.0,False,False
21.0,28.0,,,4.0,11.0,5.0,0.0,2.6666666666666665,3.0,2.0,3.0,False,False
94.0,1536.0,2.0,2.0,1.0,1443.0,43.0,24.0,32.680851063829785,32.0,31.0,15.0,False,False
22.0,130.0,2.0,2.0,1.0,109.0,17.0,7.0,11.818181818181818,12.0,11.0,9.0,False,False
14.0,29.0,3.0,2.0,1.0,16.0,6.0,2.0,4.142857142857143,5.0,5.0,5.0,False,False
19.0,130.0,2.0,2.0,1.0,112.0,16.0,12.0,13.68421052631579,13.0,13.0,9.0,False,False
12.0,32.0,3.0,2.0,1.0,21.0,7.0,3.0,5.333333333333333,6.0,4.0,6.0,False,False
77.0,2501.0,2.0,2.0,1.0,2425.0,71.0,54.0,64.96103896103897,65.0,65.0,35.0,False,False
27.0,309.0,2.0,1.0,1.0,283.0,26.0,18.0,22.88888888888889,23.0,24.0,16.0,False,False
14.0,52.0,2.0,2.0,1.0,39.0,10.0,5.0,7.428571428571429,8.0,8.0,6.0,False,False
33.0,384.0,2.0,2.0,1.0,352.0,27.0,19.0,23.272727272727273,23.0,24.0,13.0,False,False
26.0,305.0,2.0,1.0,1.0,280.0,25.0,20.0,23.46153846153846,24.0,24.0,17.0,False,False
24.0,224.0,2.0,2.0,1.0,201.0,22.0,15.0,18.666666666666668,19.0,19.0,13.0,False,False
8.0,26.0,2.0,1.0,1.0,19.0,7.0,5.0,6.5,7.0,7.0,7.0,False,False
43.0,173.0,4.0,3.0,1.0,131.0,13.0,2.0,8.046511627906977,8.0,7.0,6.0,False,False
62.0,1591.0,2.0,2.0,1.0,1530.0,56.0,46.0,51.32258064516129,52.0,54.0,28.0,False,False
95.0,3821.0,2.0,2.0,1.0,3727.0,87.0,70.0,80.4421052631579,81.0,80.0,41.0,False,False
50.0,64.0,,,3.0,17.0,7.0,0.0,2.56,2.0,1.0,4.0,False,False
71.0,1426.0,2.0,2.0,1.0,1356.0,50.0,25.0,40.16901408450704,40.0,40.0,19.0,False,False
43.0,509.0,2.0,2.0,1.0,467.0,29.0,17.0,23.674418604651162,23.0,23.0,13.0,False,False
49.0,683.0,2.0,2.0,1.0,635.0,35.0,20.0,27.877551020408163,28.0,30.0,16.0,False,False
93.0,2338.0,2.0,2.0,1.0,2246.0,61.0,38.0,50.27956989247312,50.0,50.0,22.0,False,False
82.0,2650.0,2.0,2.0,1.0,2569.0,72.0,55.0,64.63414634146342,65.0,65.0,30.0,False,False
19.0,108.0,2.0,2.0,1.0,90.0,15.0,7.0,11.368421052631579,12.0,13.0,8.0,False,False
39.0,64.0,,,2.0,27.0,6.0,0.0,3.282051282051282,3.0,3.0,4.0,False,False
76.0,2335.0,2.0,2.0,1.0,2260.0,70.0,52.0,61.44736842105263,62.0,59.0,32.0,False,False
26.0,111.0,3.0,2.0,1.0,86.0,13.0,4.0,8.538461538461538,9.0,7.0,7.0,False,False
72.0,95.0,,,8.0,31.0,6.0,0.0,2.638888888888889,2.0,2.0,4.0,False,False
94.0,3195.0,2.0,2.0,1.0,3102.0,78.0,58.0,67.97872340425532,68.0,68.0,32.0,False,False
47.0,988.0,2.0,2.0,1.0,942.0,45.0,35.0,42.04255319148936,42.0,43.0,25.0,False,False
53.0,75.0,,,5.0,27.0,7.0,0.0,2.830188679245283,3.0,3.0,4.0,False,False
31.0,257.0,2.0,2.0,1.0,227.0,22.0,9.0,16.580645161290324,17.0,18.0,10.0,False,False
53.0,428.0,3.0,2.0,1.0,376.0,23.0,8.0,16.150943396226417,16.0,16.0,9.0,False,False
27.0,171.0,2.0,2.0,1.0,145.0,19.0,7.0,12.666666666666666,12.0,12.0,8.0,False,False
31.0,93.0,4.0,3.0,1.0,63.0,9.0,3.0,6.0,6.0,7.0,5.0,False,False
17.0,46.0,3.0,2.0,1.0,30.0,8.0,3.0,5.411764705882353,6.0,6.0,4.0,False,False
52.0,1163.0,2.0,2.0,1.0,1112.0,50.0,39.0,44.73076923076923,45.0,44.0,24.0,False,False
47.0,146.0,4.0,3.0,1.0,100.0,11.0,1.0,6.212765957446808,6.0,6.0,6.0,False,False
65.0,226.0,4.0,3.0,1.0,162.0,14.0,2.0,6.953846153846154,7.0,7.0,6.0,False,False
94.0,2424.0,2.0,2.0,1.0,2331.0,64.0,40.0,51.57446808510638,52.0,51.0,24.0,False,False
64.0,1535.0,2.0,2.0,1.0,1472.0,54.0,42.0,47.96875,49.0,49.0,24.0,False,False
86.0,205.0,6.0,4.0,1.0,120.0,11.0,1.0,4.767441860465116,5.0,5.0,5.0,False,False
18.0,33.0,4.0,2.0,1.0,16.0,7.0,1.0,3.6666666666666665,3.0,3.0,3.0,False,False
55.0,1052.0,2.0,2.0,1.0,998.0,46.0,30.0,38.25454545454546,38.0,38.0,18.0,False,False
74.0,1084.0,2.0,2.0,1.0,1011.0,36.0,21.0,29.2972972972973,30.0,30.0,15.0,False,False
83.0,3114.0,2.0,2.0,1.0,3032.0,79.0,67.0,75.03614457831326,75.0,77.0,41.0,False,False
54.0,246.0,3.0,2.0,1.0,193.0,15.0,4.0,9.11111111111111,9.0,8.0,8.0,False,False
89.0,106.0,,,10.0,27.0,6.0,0.0,2.3820224719101124,2.0,1.0,4.0,False,False
94.0,4337.0,2.0,1.0,1.0,4244.0,93.0,90.0,92.27659574468085,93.0,93.0,74.0,False,False
50.0,1216.0,2.0,1.0,1.0,1167.0,49.0,46.0,48.64,49.0,49.0,45.0,False,False
95.0,4178.0,2.0,2.0,1.0,4084.0,93.0,81.0,87.9578947368421,88.0,88.0,49.0,False,False
96.0,2756.0,2.0,2.0,1.0,2661.0,68.0,44.0,57.416666666666664,57.0,56.0,24.0,False,False
37.0,599.0,2.0,2.0,1.0,563.0,35.0,30.0,32.37837837837838,32.0,33.0,21.0,False,False
77.0,526.0,3.0,2.0,1.0,450.0,22.0,6.0,13.662337662337663,14.0,16.0,8.0,False,False
44.0,910.0,2.0,1.0,1.0,867.0,43.0,38.0,41.36363636363637,42.0,42.0,30.0,False,False
95.0,3856.0,2.0,2.0,1.0,3762.0,89.0,73.0,81.17894736842105,81.0,81.0,40.0,False,False
70.0,1264.0,2.0,2.0,1.0,1195.0,46.0,24.0,36.114285714285714,36.0,39.0,17.0,False,False
85.0,691.0,3.0,2.0,1.0,607.0,23.0,5.0,16.258823529411764,17.0,18.0,10.0,False,False
78.0,1230.0,2.0,2.0,1.0,1153.0,41.0,21.0,31.53846153846154,32.0,35.0,16.0,False,False
90.0,1813.0,2.0,2.0,1.0,1724.0,49.0,29.0,40.28888888888889,41.0,42.0,17.0,False,False
40.0,654.0,2.0,2.0,1.0,615.0,37.0,28.0,32.7,33.0,33.0,22.0,False,False
8.0,18.0,2.0,2.0,1.0,11.0,6.0,3.0,4.5,5.0,4.0,5.0,False,False
78.0,1720.0,2.0,2.0,1.0,1643.0,54.0,32.0,44.1025641025641,44.0,43.0,20.0,False,False
73.0,2128.0,2.0,2.0,1.0,2056.0,66.0,51.0,58.3013698630137,58.0,60.0,28.0,False,False
58.0,258.0,4.0,3.0,1.0,201.0,14.0,2.0,8.89655172413793,9.0,7.0,7.0,False,False
34.0,237.0,2.0,2.0,1.0,204.0,22.0,9.0,13.941176470588236,14.0,15.0,9.0,False,False
13.0,33.0,3.0,2.0,1.0,21.0,9.0,2.0,5.076923076923077,5.0,5.0,5.0,False,False
10.0,42.0,2.0,1.0,1.0,33.0,9.0,8.0,8.4,8.0,8.0,7.0,False,False
36.0,218.0,3.0,2.0,1.0,183.0,19.0,5.0,12.11111111111111,11.0,11.0,9.0,False,False
62.0,380.0,3.0,2.0,1.0,319.0,19.0,5.0,12.258064516129032,12.0,10.0,8.0,False,False
95.0,1593.0,2.0,2.0,1.0,1499.0,47.0,23.0,33.536842105263155,34.0,32.0,17.0,False,False
34.0,264.0,2.0,2.0,1.0,231.0,21.0,9.0,15.529411764705882,15.0,14.0,10.0,False,False
58.0,1235.0,2.0,2.0,1.0,1178.0,50.0,35.0,42.58620689655172,43.0,45.0,22.0,False,False
18.0,39.0,4.0,2.0,1.0,22.0,7.0,1.0,4.333333333333333,5.0,5.0,5.0,False,False
92.0,3631.0,2.0,2.0,1.0,3540.0,87.0,70.0,78.93478260869566,79.0,79.0,43.0,False,False
65.0,1497.0,2.0,2.0,1.0,1433.0,54.0,34.0,46.06153846153846,46.0,42.0,22.0,False,False
8.0,27.0,2.0,1.0,1.0,20.0,7.0,6.0,6.75,7.0,7.0,7.0,False,False
72.0,880.0,3.0,2.0,1.0,809.0,38.0,17.0,24.444444444444443,24.0,25.0,13.0,False,False
64.0,1583.0,2.0,2.0,1.0,1520.0,55.0,42.0,49.46875,50.0,50.0,24.0,False,False
78.0,2081.0,2.0,2.0,1.0,2004.0,61.0,44.0,53.35897435897436,54.0,54.0,24.0,False,False
77.0,537.0,3.0,2.0,1.0,461.0,20.0,6.0,13.948051948051948,14.0,15.0,9.0,False,False
40.0,517.0,2.0,2.0,1.0,478.0,32.0,19.0,25.85,26.0,28.0,13.0,False,False
43.0,635.0,2.0,2.0,1.0,593.0,34.0,24.0,29.53488372093023,30.0,33.0,17.0,False,False
24.0,36.0,,,3.0,15.0,7.0,0.0,3.0,3.0,3.0,3.0,False,False
62.0,876.0,2.0,2.0,1.0,815.0,37.0,19.0,28.258064516129032,29.0,30.0,13.0,False,False
90.0,3166.0,2.0,2.0,1.0,3077.0,81.0,60.0,70.35555555555555,70.0,72.0,36.0,False,False
46.0,498.0,2.0,2.0,1.0,453.0,30.0,15.0,21.652173913043477,22.0,22.0,11.0,False,False
74.0,1585.0,2.0,2.0,1.0,1512.0,54.0,34.0,42.83783783783784,43.0,43.0,18.0,False,False
66.0,678.0,2.0,2.0,1.0,613.0,29.0,13.0,20.545454545454547,21.0,21.0,11.0,False,False
20.0,170.0,2.0,1.0,1.0,151.0,19.0,14.0,17.0,17.0,17.0,12.0,False,False
37.0,416.0,2.0,2.0,1.0,380.0,27.0,17.0,22.486486486486488,23.0,22.0,12.0,False,False
88.0,969.0,3.0,2.0,1.0,882.0,33.0,14.0,22.022727272727273,22.0,25.0,12.0,False,False
8.0,15.0,3.0,2.0,1.0,8.0,5.0,2.0,3.75,4.0,5.0,4.0,False,False
47.0,108.0,,,2.0,63.0,11.0,0.0,4.595744680851064,4.0,4.0,5.0,False,False
29.0,150.0,3.0,2.0,1.0,122.0,15.0,6.0,10.344827586206897,11.0,11.0,7.0,False,False
34.0,524.0,2.0,1.0,1.0,491.0,33.0,28.0,30.823529411764707,31.0,30.0,21.0,False,False
25.0,159.0,2.0,2.0,1.0,135.0,18.0,7.0,12.72,13.0,13.0,8.0,False,False
96.0,810.0,3.0,2.0,1.0,715.0,26.0,9.0,16.875,17.0,15.0,10.0,False,False
70.0,1363.0,2.0,2.0,1.0,1294.0,49.0,31.0,38.94285714285714,39.0,36.0,18.0,False,False
41.0,530.0,2.0,2.0,1.0,490.0,33.0,20.0,25.853658536585368,25.0,25.0,15.0,False,False
56.0,546.0,2.0,2.0,1.0,491.0,31.0,12.0,19.5,20.0,18.0,11.0,False,False
28.0,202.0,2.0,2.0,1.0,175.0,20.0,9.0,14.428571428571429,14.0,13.0,9.0,False,False
78.0,1863.0,2.0,2.0,1.0,1786.0,57.0,38.0,47.76923076923077,48.0,50.0,23.0,False,False
95.0,1969.0,2.0,2.0,1.0,1875.0,54.0,33.0,41.45263157894737,42.0,42.0,20.0,False,False
92.0,1176.0,3.0,2.0,1.0,1085.0,37.0,15.0,25.565217391304348,25.0,24.0,13.0,False,False
34.0,263.0,2.0,2.0,1.0,230.0,22.0,9.0,15.470588235294118,15.0,15.0,8.0,False,False
55.0,1012.0,2.0,2.0,1.0,958.0,41.0,29.0,36.8,37.0,38.0,18.0,False,False
