,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
84120,21.0,17.0,2.0,2.0,7.0,3.0,6.0,0.0,1.619047619047619,1.0,1.0,3.0,True,4.0,8.5,4.0,23.0,3.0
84121,44.0,24.0,2.0,2.0,20.0,0.0,4.0,0.0,1.0909090909090908,1.0,0.0,3.0,True,1.0,48.0,48.0,48.0,48.0
84127,15.0,17.0,2.0,2.0,3.0,5.0,5.0,0.0,2.2666666666666666,2.0,2.0,3.0,True,6.0,5.666666666666667,3.0,15.0,3.0
84130,55.0,52.0,2.0,2.0,9.0,6.0,7.0,0.0,1.8909090909090909,2.0,1.0,4.0,True,7.0,14.857142857142858,5.0,73.0,3.0
84131,11.0,14.0,4.0,3.0,1.0,4.0,4.0,1.0,2.5454545454545454,3.0,3.0,3.0,True,5.0,5.6,6.0,10.0,3.0
84132,23.0,24.0,2.0,2.0,4.0,5.0,4.0,0.0,2.0869565217391304,2.0,2.0,3.0,True,6.0,8.0,6.0,20.0,3.0
84133,41.0,28.0,2.0,2.0,14.0,1.0,3.0,0.0,1.3658536585365855,1.0,2.0,3.0,True,2.0,28.0,28.0,50.0,6.0
84134,62.0,45.0,2.0,2.0,20.0,3.0,6.0,0.0,1.4516129032258065,1.0,1.0,3.0,True,4.0,22.5,10.0,66.0,4.0
84135,10.0,13.0,2.0,2.0,2.0,5.0,4.0,0.0,2.6,3.0,3.0,3.0,True,6.0,4.333333333333333,4.5,5.0,3.0
84138,71.0,11.0,2.0,2.0,60.0,0.0,2.0,0.0,0.30985915492957744,0.0,0.0,2.0,True,1.0,22.0,22.0,22.0,22.0
84144,73.0,48.0,2.0,2.0,26.0,1.0,4.0,0.0,1.3150684931506849,1.0,1.0,3.0,True,2.0,48.0,48.0,93.0,3.0
84145,89.0,59.0,2.0,2.0,32.0,2.0,4.0,0.0,1.3258426966292134,1.0,1.0,3.0,True,3.0,39.333333333333336,9.0,105.0,4.0
84147,23.0,19.0,2.0,2.0,7.0,3.0,5.0,0.0,1.6521739130434783,2.0,2.0,3.0,True,4.0,9.5,6.0,23.0,3.0
84151,100.0,34.0,2.0,2.0,66.0,0.0,3.0,0.0,0.68,0.0,0.0,3.0,True,1.0,68.0,68.0,68.0,68.0
84152,48.0,44.0,2.0,2.0,10.0,6.0,6.0,0.0,1.8333333333333333,2.0,1.0,3.0,True,7.0,12.571428571428571,6.0,51.0,4.0
84153,35.0,38.0,2.0,2.0,5.0,8.0,5.0,0.0,2.1714285714285713,2.0,2.0,4.0,True,9.0,8.444444444444445,6.0,26.0,3.0
84154,39.0,22.0,2.0,2.0,17.0,0.0,4.0,0.0,1.1282051282051282,1.0,1.0,3.0,True,1.0,44.0,44.0,44.0,44.0
84158,37.0,20.0,2.0,2.0,18.0,1.0,3.0,0.0,1.0810810810810811,1.0,0.0,3.0,True,2.0,20.0,20.0,37.0,3.0
84159,13.0,12.0,2.0,2.0,2.0,1.0,4.0,0.0,1.8461538461538463,2.0,2.0,4.0,True,2.0,12.0,12.0,21.0,3.0
84162,49.0,43.0,2.0,2.0,11.0,5.0,5.0,0.0,1.7551020408163265,2.0,2.0,3.0,True,6.0,14.333333333333334,7.5,51.0,3.0
84165,15.0,18.0,2.0,2.0,2.0,5.0,5.0,1.0,2.4,2.0,2.0,4.0,True,6.0,6.0,5.0,11.0,4.0
84171,71.0,44.0,2.0,2.0,28.0,1.0,4.0,0.0,1.2394366197183098,1.0,1.0,3.0,True,2.0,44.0,44.0,83.0,5.0
84173,48.0,21.0,2.0,2.0,28.0,1.0,3.0,0.0,0.875,1.0,0.0,3.0,True,2.0,21.0,21.0,37.0,5.0
84174,72.0,43.0,2.0,2.0,30.0,1.0,5.0,0.0,1.1944444444444444,1.0,1.0,3.0,True,2.0,43.0,43.0,82.0,4.0
84177,14.0,15.0,2.0,2.0,3.0,4.0,6.0,0.0,2.142857142857143,2.0,2.0,4.0,True,5.0,6.0,3.0,15.0,3.0
84180,36.0,28.0,2.0,2.0,10.0,2.0,5.0,0.0,1.5555555555555556,2.0,2.0,3.0,True,3.0,18.666666666666668,5.0,47.0,4.0
84181,20.0,18.0,2.0,2.0,5.0,3.0,5.0,0.0,1.8,2.0,2.0,3.0,True,4.0,9.0,4.0,25.0,3.0
84187,18.0,20.0,2.0,2.0,4.0,6.0,5.0,0.0,2.2222222222222223,3.0,3.0,3.0,True,7.0,5.714285714285714,7.0,8.0,3.0
84188,19.0,22.0,2.0,2.0,3.0,6.0,6.0,0.0,2.3157894736842106,2.0,2.0,4.0,True,7.0,6.285714285714286,4.0,21.0,3.0
84191,13.0,20.0,4.0,3.0,1.0,8.0,6.0,1.0,3.076923076923077,3.0,3.0,3.0,True,9.0,4.444444444444445,4.0,7.0,3.0
84193,31.0,36.0,2.0,2.0,2.0,7.0,5.0,0.0,2.3225806451612905,2.0,1.0,4.0,True,8.0,9.0,4.5,35.0,3.0
84194,12.0,11.0,2.0,2.0,3.0,2.0,4.0,0.0,1.8333333333333333,2.0,2.0,3.0,True,3.0,7.333333333333333,6.0,13.0,3.0
84195,11.0,15.0,2.0,2.0,2.0,6.0,5.0,0.0,2.727272727272727,3.0,4.0,4.0,True,7.0,4.285714285714286,3.0,11.0,3.0
84198,9.0,8.0,2.0,2.0,3.0,2.0,5.0,0.0,1.7777777777777777,2.0,2.0,3.0,True,3.0,5.333333333333333,4.0,9.0,3.0
