,Число вершин,Число рёбер,Диаметр,Радиус,Число компонент связности,Цикломатическое число,Максимальная степень вершины,Минимальная степень вершины,Среднее значение степеней вершин,Медиана значений степеней вершин,Мода значений степеней вершин,Хроматическое число,Планарность,Число граней,Среднее значение числа рёбер в грани,Медианное значение числа рёбер в грани,Максимальное значение числа рёбер в грани,Минимальное значение числа рёбер в грани
0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
21,6.0,5.0,4.0,2.0,1.0,0.0,3.0,1.0,1.6666666666666667,2.0,1.0,2.0,True,1.0,10.0,10.0,10.0,10.0
25,17.0,18.0,2.0,2.0,3.0,4.0,6.0,0.0,2.1176470588235294,2.0,2.0,3.0,True,5.0,7.2,5.0,20.0,3.0
34,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
47,31.0,5.0,2.0,2.0,26.0,0.0,2.0,0.0,0.3225806451612903,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
72,15.0,5.0,2.0,2.0,10.0,0.0,3.0,0.0,0.6666666666666666,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
79,9.0,13.0,4.0,2.0,1.0,5.0,4.0,1.0,2.888888888888889,3.0,3.0,3.0,True,6.0,4.333333333333333,3.0,9.0,3.0
84,47.0,21.0,2.0,2.0,26.0,0.0,4.0,0.0,0.8936170212765957,1.0,1.0,3.0,True,1.0,42.0,42.0,42.0,42.0
85,28.0,5.0,2.0,2.0,23.0,0.0,2.0,0.0,0.35714285714285715,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
106,47.0,36.0,2.0,2.0,13.0,2.0,5.0,0.0,1.5319148936170213,2.0,2.0,4.0,True,3.0,24.0,5.0,62.0,5.0
130,11.0,12.0,2.0,2.0,2.0,3.0,4.0,0.0,2.1818181818181817,3.0,3.0,3.0,True,4.0,6.0,3.0,15.0,3.0
134,7.0,8.0,2.0,2.0,2.0,3.0,4.0,0.0,2.2857142857142856,3.0,3.0,3.0,True,4.0,4.0,3.5,6.0,3.0
141,22.0,24.0,2.0,2.0,2.0,4.0,4.0,0.0,2.1818181818181817,2.0,2.0,3.0,True,5.0,9.6,6.0,28.0,3.0
183,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,True,1.0,2.0,2.0,2.0,2.0
191,5.0,7.0,2.0,1.0,1.0,3.0,4.0,1.0,2.8,3.0,3.0,4.0,True,4.0,3.5,3.0,5.0,3.0
209,7.0,14.0,2.0,1.0,1.0,8.0,6.0,2.0,4.0,4.0,4.0,4.0,True,9.0,3.111111111111111,3.0,4.0,3.0
211,7.0,7.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,True,2.0,7.0,7.0,9.0,5.0
215,14.0,22.0,2.0,2.0,2.0,10.0,7.0,0.0,3.142857142857143,3.0,2.0,4.0,True,11.0,4.0,4.0,6.0,3.0
230,23.0,27.0,2.0,2.0,2.0,6.0,5.0,0.0,2.347826086956522,2.0,2.0,3.0,True,7.0,7.714285714285714,8.0,16.0,3.0
239,8.0,1.0,2.0,2.0,7.0,0.0,1.0,0.0,0.25,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
242,12.0,6.0,2.0,2.0,7.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,True,2.0,6.0,6.0,9.0,3.0
265,18.0,16.0,2.0,2.0,6.0,4.0,5.0,0.0,1.7777777777777777,1.0,1.0,3.0,True,5.0,6.4,3.0,19.0,3.0
269,17.0,27.0,5.0,4.0,1.0,11.0,5.0,1.0,3.176470588235294,3.0,2.0,3.0,True,12.0,4.5,4.0,8.0,3.0
284,6.0,4.0,2.0,2.0,2.0,0.0,3.0,0.0,1.3333333333333333,1.0,1.0,2.0,True,1.0,8.0,8.0,8.0,8.0
286,4.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,1.5,2.0,1.0,3.0,True,1.0,6.0,6.0,6.0,6.0
291,84.0,53.0,2.0,2.0,31.0,0.0,5.0,0.0,1.2619047619047619,1.0,1.0,3.0,True,1.0,106.0,106.0,106.0,106.0
315,11.0,13.0,5.0,3.0,1.0,3.0,4.0,1.0,2.3636363636363638,2.0,1.0,4.0,True,4.0,6.5,3.5,16.0,3.0
324,3.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.3333333333333333,1.0,1.0,2.0,True,1.0,4.0,4.0,4.0,4.0
326,5.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.4,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
356,11.0,8.0,2.0,2.0,4.0,1.0,3.0,0.0,1.4545454545454546,2.0,2.0,3.0,True,2.0,8.0,8.0,11.0,5.0
367,22.0,10.0,2.0,2.0,13.0,1.0,4.0,0.0,0.9090909090909091,1.0,0.0,3.0,True,2.0,10.0,10.0,15.0,5.0
373,26.0,6.0,2.0,2.0,20.0,0.0,2.0,0.0,0.46153846153846156,0.0,0.0,2.0,True,1.0,12.0,12.0,12.0,12.0
378,25.0,28.0,2.0,2.0,3.0,6.0,6.0,0.0,2.24,3.0,3.0,4.0,True,7.0,8.0,6.0,23.0,3.0
381,11.0,14.0,4.0,2.0,1.0,4.0,5.0,1.0,2.5454545454545454,2.0,1.0,3.0,True,5.0,5.6,5.0,11.0,3.0
397,12.0,1.0,2.0,2.0,11.0,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
400,9.0,4.0,2.0,2.0,5.0,0.0,2.0,0.0,0.8888888888888888,1.0,1.0,2.0,True,1.0,8.0,8.0,8.0,8.0
401,21.0,9.0,2.0,2.0,12.0,0.0,2.0,0.0,0.8571428571428571,1.0,1.0,2.0,True,1.0,18.0,18.0,18.0,18.0
402,8.0,6.0,2.0,2.0,2.0,0.0,3.0,0.0,1.5,2.0,2.0,2.0,True,1.0,12.0,12.0,12.0,12.0
404,7.0,2.0,2.0,2.0,5.0,0.0,1.0,0.0,0.5714285714285714,1.0,1.0,2.0,True,1.0,4.0,4.0,4.0,4.0
408,6.0,5.0,2.0,2.0,2.0,1.0,3.0,0.0,1.6666666666666667,2.0,1.0,3.0,True,2.0,5.0,5.0,7.0,3.0
420,3.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,2.0,True,1.0,2.0,2.0,2.0,2.0
443,92.0,46.0,2.0,2.0,46.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,True,1.0,92.0,92.0,92.0,92.0
475,19.0,10.0,2.0,2.0,10.0,1.0,3.0,0.0,1.0526315789473684,1.0,0.0,3.0,True,2.0,10.0,10.0,16.0,4.0
487,13.0,8.0,2.0,2.0,5.0,0.0,4.0,0.0,1.2307692307692308,1.0,1.0,3.0,True,1.0,16.0,16.0,16.0,16.0
506,46.0,39.0,2.0,2.0,8.0,1.0,5.0,0.0,1.6956521739130435,2.0,2.0,3.0,True,2.0,39.0,39.0,74.0,4.0
514,7.0,1.0,2.0,2.0,6.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
516,64.0,8.0,2.0,2.0,56.0,0.0,2.0,0.0,0.25,0.0,0.0,2.0,True,1.0,16.0,16.0,16.0,16.0
519,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,True,2.0,3.0,3.0,3.0,3.0
534,30.0,22.0,2.0,2.0,9.0,1.0,5.0,0.0,1.4666666666666666,1.0,1.0,3.0,True,2.0,22.0,22.0,39.0,5.0
551,13.0,21.0,4.0,3.0,1.0,9.0,7.0,1.0,3.230769230769231,3.0,2.0,4.0,True,10.0,4.2,3.5,10.0,3.0
556,9.0,2.0,2.0,2.0,7.0,0.0,2.0,0.0,0.4444444444444444,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
559,17.0,15.0,2.0,2.0,3.0,1.0,4.0,0.0,1.7647058823529411,2.0,1.0,2.0,True,2.0,15.0,15.0,26.0,4.0
560,9.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
570,9.0,5.0,2.0,2.0,4.0,0.0,3.0,0.0,1.1111111111111112,1.0,1.0,2.0,True,1.0,10.0,10.0,10.0,10.0
572,4.0,6.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,True,4.0,3.0,3.0,3.0,3.0
582,44.0,11.0,2.0,2.0,33.0,0.0,2.0,0.0,0.5,0.0,0.0,2.0,True,1.0,22.0,22.0,22.0,22.0
584,8.0,6.0,2.0,2.0,3.0,1.0,3.0,0.0,1.5,2.0,2.0,3.0,True,2.0,6.0,6.0,9.0,3.0
598,6.0,6.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0,True,3.0,4.0,3.0,6.0,3.0
605,56.0,45.0,2.0,2.0,14.0,3.0,4.0,0.0,1.6071428571428572,2.0,1.0,3.0,True,4.0,22.5,9.0,69.0,3.0
612,82.0,71.0,2.0,2.0,18.0,7.0,5.0,0.0,1.7317073170731707,2.0,2.0,3.0,True,8.0,17.75,13.5,50.0,8.0
618,7.0,3.0,2.0,2.0,4.0,0.0,1.0,0.0,0.8571428571428571,1.0,1.0,2.0,True,1.0,6.0,6.0,6.0,6.0
649,73.0,3.0,2.0,2.0,70.0,0.0,1.0,0.0,0.0821917808219178,0.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
652,51.0,34.0,2.0,2.0,18.0,1.0,4.0,0.0,1.3333333333333333,1.0,1.0,3.0,True,2.0,34.0,34.0,63.0,5.0
668,23.0,21.0,2.0,2.0,6.0,4.0,5.0,0.0,1.826086956521739,2.0,1.0,3.0,True,5.0,8.4,4.0,23.0,3.0
676,45.0,41.0,2.0,2.0,8.0,4.0,4.0,0.0,1.8222222222222222,2.0,1.0,3.0,True,5.0,16.4,8.0,53.0,4.0
695,7.0,12.0,2.0,2.0,1.0,6.0,5.0,2.0,3.4285714285714284,3.0,2.0,3.0,True,7.0,3.4285714285714284,3.0,5.0,3.0
698,7.0,7.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,3.0,True,3.0,4.666666666666667,3.0,8.0,3.0
717,6.0,11.0,2.0,1.0,1.0,6.0,5.0,3.0,3.6666666666666665,4.0,3.0,4.0,True,7.0,3.142857142857143,3.0,4.0,3.0
729,19.0,22.0,2.0,2.0,4.0,7.0,4.0,0.0,2.3157894736842106,3.0,3.0,3.0,True,8.0,5.5,4.5,14.0,3.0
742,3.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
746,54.0,15.0,2.0,2.0,39.0,0.0,3.0,0.0,0.5555555555555556,0.0,0.0,2.0,True,1.0,30.0,30.0,30.0,30.0
757,7.0,9.0,4.0,2.0,1.0,3.0,3.0,1.0,2.5714285714285716,3.0,3.0,2.0,True,4.0,4.5,4.0,6.0,4.0
779,17.0,10.0,2.0,2.0,7.0,0.0,3.0,0.0,1.1764705882352942,1.0,1.0,3.0,True,1.0,20.0,20.0,20.0,20.0
785,75.0,40.0,2.0,2.0,37.0,2.0,5.0,0.0,1.0666666666666667,1.0,0.0,3.0,True,3.0,26.666666666666668,5.0,72.0,3.0
795,5.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,0.8,1.0,1.0,2.0,True,1.0,4.0,4.0,4.0,4.0
812,13.0,18.0,6.0,3.0,1.0,6.0,5.0,1.0,2.769230769230769,2.0,2.0,3.0,True,7.0,5.142857142857143,4.0,12.0,3.0
820,73.0,45.0,2.0,2.0,28.0,0.0,4.0,0.0,1.2328767123287672,1.0,1.0,3.0,True,1.0,90.0,90.0,90.0,90.0
837,52.0,19.0,2.0,2.0,33.0,0.0,2.0,0.0,0.7307692307692307,1.0,0.0,3.0,True,1.0,38.0,38.0,38.0,38.0
839,5.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,1.2,1.0,1.0,2.0,True,1.0,6.0,6.0,6.0,6.0
843,35.0,31.0,2.0,2.0,8.0,4.0,5.0,0.0,1.7714285714285714,2.0,1.0,3.0,True,5.0,12.4,5.0,42.0,4.0
846,50.0,37.0,2.0,2.0,17.0,4.0,4.0,0.0,1.48,1.0,1.0,3.0,True,5.0,14.8,5.0,54.0,4.0
863,65.0,3.0,2.0,2.0,62.0,0.0,1.0,0.0,0.09230769230769231,0.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
883,76.0,70.0,2.0,2.0,13.0,7.0,5.0,0.0,1.8421052631578947,2.0,1.0,3.0,True,8.0,17.5,5.0,100.0,3.0
899,7.0,4.0,2.0,2.0,3.0,0.0,3.0,0.0,1.1428571428571428,1.0,1.0,3.0,True,1.0,8.0,8.0,8.0,8.0
903,6.0,1.0,2.0,2.0,5.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
905,14.0,11.0,2.0,2.0,4.0,1.0,5.0,0.0,1.5714285714285714,1.0,1.0,3.0,True,2.0,11.0,11.0,17.0,5.0
922,6.0,9.0,3.0,2.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,True,5.0,3.6,3.0,6.0,3.0
940,8.0,2.0,2.0,2.0,6.0,0.0,1.0,0.0,0.5,1.0,1.0,2.0,True,1.0,4.0,4.0,4.0,4.0
942,11.0,15.0,4.0,3.0,1.0,5.0,4.0,2.0,2.727272727272727,3.0,3.0,3.0,True,6.0,5.0,5.0,7.0,3.0
943,11.0,16.0,4.0,2.0,1.0,6.0,5.0,2.0,2.909090909090909,2.0,2.0,3.0,True,7.0,4.571428571428571,4.0,8.0,3.0
951,7.0,10.0,3.0,2.0,1.0,4.0,5.0,1.0,2.857142857142857,2.0,2.0,3.0,True,5.0,4.0,3.0,8.0,3.0
957,13.0,7.0,2.0,2.0,6.0,0.0,3.0,0.0,1.0769230769230769,1.0,1.0,2.0,True,1.0,14.0,14.0,14.0,14.0
967,4.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,True,1.0,4.0,4.0,4.0,4.0
970,61.0,23.0,2.0,2.0,38.0,0.0,3.0,0.0,0.7540983606557377,1.0,0.0,3.0,True,1.0,46.0,46.0,46.0,46.0
973,33.0,15.0,2.0,2.0,18.0,0.0,2.0,0.0,0.9090909090909091,1.0,1.0,3.0,True,1.0,30.0,30.0,30.0,30.0
975,9.0,11.0,2.0,2.0,3.0,5.0,4.0,0.0,2.4444444444444446,3.0,3.0,3.0,True,6.0,3.6666666666666665,3.5,5.0,3.0
987,7.0,7.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,3.0,True,3.0,4.666666666666667,4.0,7.0,3.0
1022,6.0,6.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,3.0,True,2.0,6.0,6.0,8.0,4.0
1023,44.0,2.0,2.0,2.0,42.0,0.0,2.0,0.0,0.09090909090909091,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
1026,41.0,5.0,2.0,2.0,36.0,0.0,2.0,0.0,0.24390243902439024,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
1027,6.0,4.0,2.0,2.0,3.0,1.0,2.0,0.0,1.3333333333333333,2.0,2.0,2.0,True,2.0,4.0,4.0,4.0,4.0
1045,28.0,30.0,2.0,2.0,5.0,7.0,6.0,0.0,2.142857142857143,2.0,3.0,3.0,True,8.0,7.5,4.0,31.0,3.0
1048,18.0,14.0,2.0,2.0,7.0,3.0,4.0,0.0,1.5555555555555556,2.0,2.0,4.0,True,4.0,7.0,3.0,19.0,3.0
1051,55.0,2.0,2.0,2.0,53.0,0.0,1.0,0.0,0.07272727272727272,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
1061,6.0,8.0,2.0,2.0,1.0,3.0,4.0,2.0,2.6666666666666665,3.0,2.0,3.0,True,4.0,4.0,3.5,6.0,3.0
1070,9.0,12.0,3.0,2.0,1.0,4.0,5.0,1.0,2.6666666666666665,2.0,2.0,3.0,True,5.0,4.8,4.0,9.0,3.0
1080,4.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.5,2.0,2.0,3.0,True,2.0,3.0,3.0,3.0,3.0
1084,47.0,32.0,2.0,2.0,16.0,1.0,4.0,0.0,1.3617021276595744,1.0,1.0,3.0,True,2.0,32.0,32.0,54.0,10.0
1108,7.0,12.0,2.0,2.0,1.0,6.0,5.0,3.0,3.4285714285714284,3.0,3.0,4.0,True,7.0,3.4285714285714284,3.0,5.0,3.0
1112,9.0,4.0,2.0,2.0,5.0,0.0,3.0,0.0,0.8888888888888888,1.0,1.0,2.0,True,1.0,8.0,8.0,8.0,8.0
1121,17.0,5.0,2.0,2.0,12.0,0.0,2.0,0.0,0.5882352941176471,0.0,0.0,2.0,True,1.0,10.0,10.0,10.0,10.0
1141,9.0,9.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,3.0,True,3.0,6.0,5.0,9.0,4.0
1143,6.0,8.0,3.0,2.0,1.0,3.0,4.0,1.0,2.6666666666666665,3.0,3.0,3.0,True,4.0,4.0,3.5,6.0,3.0
1165,12.0,16.0,2.0,2.0,2.0,6.0,5.0,0.0,2.6666666666666665,3.0,4.0,3.0,True,7.0,4.571428571428571,4.0,11.0,3.0
1179,5.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.6,2.0,2.0,3.0,True,2.0,4.0,4.0,5.0,3.0
1193,26.0,26.0,2.0,2.0,4.0,4.0,4.0,0.0,2.0,2.0,1.0,4.0,True,5.0,10.4,6.0,32.0,3.0
1214,10.0,5.0,2.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,True,2.0,5.0,5.0,7.0,3.0
1227,76.0,3.0,2.0,2.0,73.0,0.0,2.0,0.0,0.07894736842105263,0.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
1241,13.0,11.0,2.0,2.0,4.0,2.0,4.0,0.0,1.6923076923076923,2.0,2.0,3.0,True,3.0,7.333333333333333,7.0,10.0,5.0
1246,36.0,20.0,2.0,2.0,16.0,0.0,4.0,0.0,1.1111111111111112,1.0,1.0,3.0,True,1.0,40.0,40.0,40.0,40.0
1251,40.0,39.0,2.0,2.0,8.0,7.0,5.0,0.0,1.95,2.0,2.0,3.0,True,8.0,9.75,3.0,51.0,3.0
1261,63.0,15.0,2.0,2.0,48.0,0.0,3.0,0.0,0.47619047619047616,0.0,0.0,3.0,True,1.0,30.0,30.0,30.0,30.0
1269,12.0,11.0,2.0,2.0,3.0,2.0,4.0,0.0,1.8333333333333333,2.0,1.0,3.0,True,3.0,7.333333333333333,4.0,15.0,3.0
1270,26.0,12.0,2.0,2.0,14.0,0.0,3.0,0.0,0.9230769230769231,1.0,1.0,2.0,True,1.0,24.0,24.0,24.0,24.0
1316,98.0,79.0,2.0,2.0,28.0,9.0,5.0,0.0,1.6122448979591837,1.0,1.0,3.0,True,10.0,15.8,8.0,84.0,4.0
1320,70.0,53.0,2.0,2.0,23.0,6.0,6.0,0.0,1.5142857142857142,1.0,1.0,3.0,True,7.0,15.142857142857142,6.0,66.0,4.0
1325,24.0,26.0,2.0,2.0,4.0,6.0,6.0,0.0,2.1666666666666665,2.0,2.0,4.0,True,7.0,7.428571428571429,6.0,23.0,3.0
1340,41.0,12.0,2.0,2.0,29.0,0.0,3.0,0.0,0.5853658536585366,0.0,0.0,2.0,True,1.0,24.0,24.0,24.0,24.0
1342,23.0,22.0,2.0,2.0,3.0,2.0,5.0,0.0,1.9130434782608696,2.0,2.0,3.0,True,3.0,14.666666666666666,6.0,34.0,4.0
1347,4.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,True,2.0,4.0,4.0,5.0,3.0
1353,5.0,6.0,2.0,1.0,1.0,2.0,4.0,1.0,2.4,2.0,2.0,3.0,True,3.0,4.0,3.0,6.0,3.0
1377,9.0,3.0,2.0,2.0,6.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,2.0,True,1.0,6.0,6.0,6.0,6.0
1387,19.0,22.0,2.0,2.0,2.0,5.0,4.0,0.0,2.3157894736842106,2.0,3.0,3.0,True,6.0,7.333333333333333,6.5,16.0,3.0
1388,37.0,11.0,2.0,2.0,26.0,0.0,2.0,0.0,0.5945945945945946,0.0,0.0,3.0,True,1.0,22.0,22.0,22.0,22.0
1402,7.0,4.0,2.0,2.0,3.0,0.0,3.0,0.0,1.1428571428571428,1.0,1.0,2.0,True,1.0,8.0,8.0,8.0,8.0
1417,11.0,13.0,2.0,2.0,2.0,4.0,5.0,0.0,2.3636363636363638,2.0,1.0,3.0,True,5.0,5.2,3.0,14.0,3.0
1419,13.0,17.0,5.0,3.0,1.0,5.0,4.0,1.0,2.6153846153846154,3.0,4.0,3.0,True,6.0,5.666666666666667,4.5,12.0,3.0
1428,8.0,10.0,3.0,3.0,1.0,3.0,4.0,2.0,2.5,2.0,2.0,3.0,True,4.0,5.0,4.5,8.0,3.0
1429,31.0,27.0,2.0,2.0,9.0,5.0,5.0,0.0,1.7419354838709677,2.0,1.0,4.0,True,6.0,9.0,4.5,33.0,3.0
1440,54.0,42.0,2.0,2.0,14.0,2.0,4.0,0.0,1.5555555555555556,2.0,1.0,3.0,True,3.0,28.0,7.0,74.0,3.0
1443,8.0,5.0,2.0,2.0,3.0,0.0,3.0,0.0,1.25,1.0,1.0,2.0,True,1.0,10.0,10.0,10.0,10.0
1451,5.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,True,2.0,5.0,5.0,6.0,4.0
1459,25.0,25.0,2.0,2.0,4.0,4.0,6.0,0.0,2.0,1.0,1.0,3.0,True,5.0,10.0,4.0,34.0,3.0
1467,16.0,1.0,2.0,2.0,15.0,0.0,1.0,0.0,0.125,0.0,0.0,2.0,True,1.0,2.0,2.0,2.0,2.0
1482,25.0,9.0,2.0,2.0,16.0,0.0,3.0,0.0,0.72,0.0,0.0,2.0,True,1.0,18.0,18.0,18.0,18.0
1496,15.0,7.0,2.0,2.0,8.0,0.0,2.0,0.0,0.9333333333333333,1.0,1.0,2.0,True,1.0,14.0,14.0,14.0,14.0
1499,36.0,22.0,2.0,2.0,14.0,0.0,4.0,0.0,1.2222222222222223,1.0,1.0,3.0,True,1.0,44.0,44.0,44.0,44.0
1508,20.0,0.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
1511,20.0,12.0,2.0,2.0,9.0,1.0,3.0,0.0,1.2,1.0,0.0,3.0,True,2.0,12.0,12.0,21.0,3.0
1512,34.0,16.0,2.0,2.0,19.0,1.0,4.0,0.0,0.9411764705882353,1.0,0.0,3.0,True,2.0,16.0,16.0,29.0,3.0
1517,66.0,42.0,2.0,2.0,25.0,1.0,4.0,0.0,1.2727272727272727,1.0,1.0,3.0,True,2.0,42.0,42.0,75.0,9.0
1555,14.0,12.0,2.0,2.0,3.0,1.0,4.0,0.0,1.7142857142857142,2.0,1.0,2.0,True,2.0,12.0,12.0,20.0,4.0
1560,18.0,25.0,6.0,3.0,1.0,8.0,4.0,1.0,2.7777777777777777,3.0,4.0,3.0,True,9.0,5.555555555555555,4.0,18.0,3.0
1570,13.0,3.0,2.0,2.0,10.0,0.0,2.0,0.0,0.46153846153846156,0.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
1578,12.0,9.0,2.0,2.0,4.0,1.0,3.0,0.0,1.5,2.0,1.0,3.0,True,2.0,9.0,9.0,15.0,3.0
1584,14.0,2.0,2.0,2.0,12.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
1596,44.0,45.0,2.0,2.0,5.0,6.0,5.0,0.0,2.0454545454545454,2.0,2.0,4.0,True,7.0,12.857142857142858,7.0,50.0,5.0
1605,11.0,7.0,2.0,2.0,4.0,0.0,4.0,0.0,1.2727272727272727,1.0,1.0,2.0,True,1.0,14.0,14.0,14.0,14.0
1620,20.0,16.0,2.0,2.0,7.0,3.0,5.0,0.0,1.6,2.0,2.0,3.0,True,4.0,8.0,4.0,21.0,3.0
1623,6.0,8.0,3.0,2.0,1.0,3.0,4.0,1.0,2.6666666666666665,3.0,3.0,4.0,True,4.0,4.0,3.0,7.0,3.0
1644,60.0,13.0,2.0,2.0,47.0,0.0,3.0,0.0,0.43333333333333335,0.0,0.0,2.0,True,1.0,26.0,26.0,26.0,26.0
1645,20.0,19.0,2.0,2.0,5.0,4.0,4.0,0.0,1.9,2.0,2.0,4.0,True,5.0,7.6,5.0,18.0,3.0
1649,10.0,3.0,2.0,2.0,7.0,0.0,2.0,0.0,0.6,1.0,0.0,2.0,True,1.0,6.0,6.0,6.0,6.0
1681,5.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0,0.0,0.0,0.0,0.0
1686,7.0,5.0,2.0,2.0,2.0,0.0,3.0,0.0,1.4285714285714286,1.0,1.0,3.0,True,1.0,10.0,10.0,10.0,10.0
1707,99.0,47.0,2.0,2.0,52.0,0.0,4.0,0.0,0.9494949494949495,1.0,1.0,3.0,True,1.0,94.0,94.0,94.0,94.0
1729,8.0,5.0,2.0,2.0,3.0,0.0,3.0,0.0,1.25,1.0,1.0,3.0,True,1.0,10.0,10.0,10.0,10.0
1746,32.0,12.0,2.0,2.0,20.0,0.0,3.0,0.0,0.75,1.0,1.0,2.0,True,1.0,24.0,24.0,24.0,24.0
1748,6.0,12.0,2.0,1.0,1.0,7.0,5.0,3.0,4.0,4.0,3.0,4.0,True,8.0,3.0,3.0,3.0,3.0
1755,97.0,77.0,2.0,2.0,26.0,6.0,5.0,0.0,1.5876288659793814,1.0,1.0,4.0,True,7.0,22.0,7.0,105.0,5.0
1776,13.0,9.0,2.0,2.0,4.0,0.0,3.0,0.0,1.3846153846153846,1.0,1.0,3.0,True,1.0,18.0,18.0,18.0,18.0
1781,21.0,25.0,2.0,2.0,3.0,7.0,5.0,0.0,2.380952380952381,2.0,3.0,3.0,True,8.0,6.25,4.5,15.0,3.0
1785,14.0,10.0,2.0,2.0,4.0,0.0,4.0,0.0,1.4285714285714286,1.0,1.0,3.0,True,1.0,20.0,20.0,20.0,20.0
1793,9.0,9.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,3.0,True,3.0,6.0,4.0,11.0,3.0
1801,6.0,10.0,3.0,2.0,1.0,5.0,4.0,2.0,3.3333333333333335,4.0,4.0,4.0,True,6.0,3.3333333333333335,3.0,5.0,3.0
1803,18.0,11.0,2.0,2.0,8.0,1.0,3.0,0.0,1.2222222222222223,1.0,1.0,3.0,True,2.0,11.0,11.0,19.0,3.0
1805,7.0,9.0,3.0,2.0,1.0,3.0,4.0,1.0,2.5714285714285716,3.0,3.0,4.0,True,4.0,4.5,4.0,7.0,3.0
1809,49.0,36.0,2.0,2.0,16.0,3.0,5.0,0.0,1.469387755102041,1.0,1.0,3.0,True,4.0,18.0,3.0,63.0,3.0
1816,8.0,2.0,2.0,2.0,6.0,0.0,1.0,0.0,0.5,1.0,0.0,2.0,True,1.0,4.0,4.0,4.0,4.0
1817,11.0,14.0,2.0,2.0,2.0,5.0,4.0,0.0,2.5454545454545454,3.0,4.0,3.0,True,6.0,4.666666666666667,3.5,11.0,3.0
